City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Narsaq,GL,60.92,-46.05,41.47,86,92,1.5,overcast clouds
293,Tokmak,UA,47.25,35.71,62.29,75,100,7.43,overcast clouds
294,Northam,GB,51.03,-4.22,57.61,84,67,5.19,broken clouds
295,Hamilton,US,39.18,-84.53,67.98,56,20,12.66,few clouds
296,Truckee,US,39.33,-120.18,81.09,27,1,4.0,clear sky
297,Arkhipo-Osipovka,RU,44.37,38.52,64.17,79,5,4.81,clear sky
298,Ketchikan,US,55.34,-131.65,57.67,94,75,14.97,broken clouds
299,Bhim Tal,IN,29.35,79.57,58.17,82,0,4.09,clear sky
300,Sao Joao Da Barra,BR,-21.64,-41.05,69.89,88,100,14.94,overcast clouds
301,Fortuna,US,40.60,-124.16,72.36,71,0,8.99,clear sky
302,Mora,CM,11.05,14.14,77.79,71,76,3.2,broken clouds
303,Tumut,AU,-35.30,148.22,54.12,65,6,4.07,clear sky
304,Oranjestad,AW,12.52,-70.03,85.95,70,20,6.91,few clouds
305,Fort-Shevchenko,KZ,44.51,50.26,69.31,69,81,6.17,broken clouds
306,Rio Gallegos,AR,-51.62,-69.22,50.05,81,75,9.22,broken clouds
307,Glyadyanskoye,RU,54.91,65.09,26.56,72,4,4.56,clear sky
308,Saurimo,AO,-9.66,20.39,65.05,73,33,1.88,light rain
309,Maragogi,BR,-9.01,-35.22,75.25,76,80,8.1,broken clouds
310,Namibe,AO,-15.20,12.15,68.31,86,77,3.47,broken clouds
311,Marsa Matruh,EG,31.35,27.25,80.8,83,0,12.66,clear sky
312,Praia Da Vitoria,PT,38.73,-27.07,70.05,78,75,2.66,broken clouds
313,Wanxian,CN,30.80,108.39,71.96,82,95,2.33,overcast clouds
314,Cap Malheureux,MU,-19.98,57.61,67.46,78,11,15.21,few clouds
315,Narrabri,AU,-30.32,149.78,58.51,78,1,5.01,clear sky
316,Inhambane,MZ,-23.86,35.38,69.33,86,0,6.31,clear sky
317,Cayenne,GF,4.93,-52.33,82.44,78,9,8.05,clear sky
318,Altar,MX,30.70,-111.82,75.78,62,99,11.39,overcast clouds
319,Pozorice,CZ,49.21,16.79,52.79,83,0,1.14,clear sky
320,Burdur,TR,37.72,30.29,65.1,63,0,3.44,clear sky
321,Roma,US,43.21,-75.46,57.63,62,0,6.91,clear sky
322,Santa Rosa,PH,14.31,121.11,79.09,90,82,6.31,broken clouds
323,Santa Cruz,BO,-17.80,-63.17,64.45,63,100,6.91,overcast clouds
324,Houma,US,29.60,-90.72,77.0,49,0,11.43,clear sky
325,Kangalassy,RU,62.35,129.96,28.33,90,47,6.69,scattered clouds
326,Lompoc,US,34.64,-120.46,84.34,69,19,4.0,few clouds
327,Te Anau,NZ,-45.42,167.72,43.47,68,9,5.44,clear sky
328,Cururupu,BR,-1.83,-44.87,77.16,82,66,4.23,broken clouds
329,Bad Wildungen,DE,51.12,9.12,44.91,93,33,3.44,scattered clouds
330,Kununurra,AU,-15.77,128.73,76.98,88,28,3.44,scattered clouds
331,Celestun,MX,20.87,-90.40,82.54,59,24,15.03,few clouds
332,Kieta,PG,-6.22,155.63,83.44,61,20,4.45,few clouds
333,Marsh Harbour,BS,26.54,-77.06,82.89,76,100,22.12,overcast clouds
334,Broome,US,42.25,-75.83,58.66,62,0,11.5,clear sky
335,North Bend,US,43.41,-124.22,67.91,92,100,8.05,haze
336,Petawawa,CA,45.90,-77.33,56.79,53,20,3.44,few clouds
337,Mananara,MG,-16.17,49.77,66.92,89,59,4.09,light rain
338,Tual,ID,-5.67,132.75,82.47,76,100,9.69,overcast clouds
339,Batagay-Alyta,RU,67.80,130.41,19.96,96,100,2.68,overcast clouds
340,Kabalo,CD,-6.05,26.92,69.42,88,95,2.62,overcast clouds
341,Yuci,CN,37.68,112.73,51.55,82,0,2.24,clear sky
342,Tabou,CI,4.42,-7.35,75.79,88,52,5.06,broken clouds
343,Comodoro Rivadavia,AR,-45.87,-67.50,71.46,15,0,11.5,clear sky
344,Ipixuna,BR,-1.76,-48.80,79.99,78,66,9.33,broken clouds
345,Bukachacha,RU,52.98,116.92,26.67,96,100,2.42,overcast clouds
346,Baldwin Park,US,34.09,-117.96,99.66,46,12,3.0,few clouds
347,Vila Do Maio,CV,15.13,-23.22,81.39,86,30,10.89,scattered clouds
348,Nizhnyaya Salda,RU,58.08,60.72,22.86,88,7,5.01,clear sky
349,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,68.92,54,89,6.4,overcast clouds
350,Nouadhibou,MR,20.93,-17.03,76.98,69,36,13.8,scattered clouds
351,Qasigiannguit,GL,68.82,-51.19,33.04,95,100,2.89,overcast clouds
352,Saint Simons,US,31.14,-81.39,62.64,90,100,18.41,heavy intensity rain
353,San Juan,AR,-31.54,-68.54,68.79,32,52,5.84,broken clouds
354,Tautira,PF,-17.73,-149.15,77.5,75,0,16.8,clear sky
355,Elizabeth City,US,36.29,-76.25,68.02,73,75,24.16,broken clouds
356,Yabrud,SY,33.97,36.66,65.98,38,0,4.47,clear sky
357,Fort Nelson,CA,58.81,-122.70,58.59,55,20,3.44,few clouds
